release_year,metascore,app_name
2014,70,Crowntakers
2014,66,A Bird Story
2014,69,Toybox Turbos
2014,72,Space Hulk Ascension
2014,76,Chariot
2014,57,Randal's Monday
2014,63,Sneaky Sneaky
2014,81,Company of Heroes 2 - Ardennes Assault
2014,80,Far Cry® 4
2014,55,The Blue Flamingo
2014,52,Escape Dead Island
2014,73,Letter Quest: Grimm's Journey
2014,68,The Witcher Adventure Game
2014,78,Joe Dever's Lone Wolf HD Remastered
2014,65,JUJU
2014,78,LISA
2014,68,Metrocide
2014,59,Dead Effect
2014,80,METAL GEAR SOLID V: GROUND ZEROES
2016,84,SpeedRunners
2015,61,Disorder
2015,78,Avernum 2: Crystal Souls
2015,57,Tengami
2015,49,TRISTOY
2015,82,Resident Evil / biohazard HD REMASTER
2015,77,Grey Goo
2009,61,Venetica - Gold Edition
2015,66,Ghost Pirates of Vooju Island
2015,77,Pix the Cat
2015,76,Overture
2015,78,Apotheon
2015,81,SUNLESS SEA
2015,78,Hand of Fate
2015,66,Hot Tin Roof: The Cat That Wore A Fedora
2015,66,Oscura: Lost Light
2015,87,Oddworld: New 'n' Tasty
2015,86,Homeworld Remastered Collection
2015,70,Shiftlings
2015,68,White Night
2015,67,ARMED SEVEN
2015,58,Shelter 2
2015,64,Sid Meier's Starships
2015,74,Oceanhorn: Monster of Uncharted Seas
2015,55,Woolfe - The Red Hood Diaries
2015,62,Etherium
2001,80,The Corporate Machine
2015,75,Ironcast
2015,80,ArcheAge
2005,70,The Moment of Silence
2015,68,RIDE
2015,74,A Pixel Story
2015,69,Bloodsports.TV
2015,68,Paperbound
2010,63,15 Days
2015,79,DARK SOULS™ II: Scholar of the First Sin
2015,65,War for the Overworld
2008,70,Overclocked: A History of Violence
2015,59,Blue Estate The Game
2015,70,Lakeview Cabin Collection
2015,70,Dead Synchronicity: Tomorrow Comes Today
2015,66,Albedo: Eyes from Outer Space
2015,68,The Charnel House Trilogy
2015,65,"Slow Down, Bull"
2015,72,Convoy
2015,76,JumpJet Rex
2015,81,Kalimba
2015,87,Crypt of the NecroDancer
2004,56,Fair Strike
2015,70,Dungeons 2
2015,77,TERA
2015,47,Karmaflow: The Rock Opera Videogame - Act I & Act II
2014,63,Vertiginous Golf
2015,68,Inside My Radio
2015,74,Action Henk
2015,61,Windward
2015,81,Galactic Civilizations III
2015,62,NEON STRUCT
2015,64,The Incredible Adventures of Van Helsing III
2015,79,BADLAND: Game of the Year Edition
2015,85,Crimzon Clover WORLD IGNITION - Superplay Strategy Guide
2015,85,Crimzon Clover WORLD IGNITION - Arcade Poster Pack
2015,85,Crimzon Clover WORLD IGNITION - Arranged Sound Track
2015,73,0RBITALIS
2015,72,Homesick
2015,66,The Detail Episode 2 - From The Ashes
2015,73,MASSIVE CHALICE
2015,43,Hatred
2015,71,You Must Build A Boat
2015,82,Duck Game
2015,68,The Masterplan
2015,72,LEGO® Jurassic World
2015,86,Rocket League®
2015,61,F1 2015
2016,85,Chime Sharp
2015,69,Holy Potatoes! A Weapon Shop?!
2015,80,Card Hunter
2015,51,Five Nights at Freddy's 4
2015,65,Cradle
2015,75,Victor Vran ARPG
2015,43,ENKI
2008,61,SAGA
2015,66,Fairy Fencer F
2015,68,INK
2015,70,Shadow Blade: Reload
2015,82,OlliOlli2: Welcome to Olliwood
2015,82,Hacknet
2015,58,Bard's Gold
2015,69,FINAL FANTASY TYPE-0™ HD
